Title,Description,Priority,Estimate,Labels,Team
"TEST-3: 80%+ API test coverage target","**Status:** 🔒
**Source:** roadmap
**Dependencies:** [needs: TEST-1]
**Effort:** 2h",High,2,,Platform
"UX-58: Planning: Build goals page — list goals, create form, progress tracking, status updates","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-97]
**Effort:** 3-4h",High,3,,Platform
"UX-59: Planning: Build budgets page — list budgets, create form, budget vs actual bars","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-98]
**Effort:** 3-4h",High,3,,Platform
"UX-60: Planning: Add planning landing page at `/planning` with summary cards (active goals, budget utilization, forecast status)","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-97, DEV-98]
**Effort:** 2-3h",High,2,,Platform
"DEV-113: Insights: Build AI Chat interface on Insights page (wire to existing `POST /api/ai/chat`)","**Status:** 📦
**Source:** audit:ai-advisor
**Dependencies:** [needs: UX-66, DEV-112]
**Effort:** 2-3h",High,2,,Platform
"UX-7: Help overlay documenting keyboard shortcuts","**Status:** 🔒
**Source:** roadmap
**Dependencies:** [needs: UX-6]
**Effort:** 1h",Normal,1,,Platform
"FIN-8: Fiscal year close process (closing entries, revenue → retained earnings)","**Status:** 📦
**Source:** review:smooth-floating-mountain §2.3.2
**Dependencies:** [needs: FIN-7]
**Effort:** 4h",Normal,4,,Platform
"FIN-9: Multi-currency revaluation on period close (FX gains/losses, IFRS/GAAP)","**Status:** 📦
**Source:** review:smooth-floating-mountain §2.3.1
**Dependencies:** [needs: FIN-8]
**Effort:** 4h",Normal,4,,Platform
"DEV-99: Planning: Add budget variance analysis endpoint — compare budget amount vs actual spend from GL/transactions","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-98]
**Effort:** 3-4h",Normal,3,,Platform
"DEV-100: Planning: Add goal auto-tracking + milestone notifications — calculate currentAmount from linked account/category, alert at 25/50/75/100%","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-97]
**Effort:** 3-4h",Normal,3,,Platform
"UX-62: Planning: Add budget period selector (monthly/quarterly/yearly) with visual spend-rate indicator","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: UX-59]
**Effort:** 1-2h",Normal,1,,Platform
"UX-63: Planning: Add budget vs actual drill-down — click category to see transactions contributing to spend","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-99]
**Effort:** 2-3h",Normal,2,,Platform
"DEV-105: Planning: Add budget alerts — threshold warnings at 80%/100% utilization, surfaced to dashboard action items","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-99]
**Effort:** 2-3h",Normal,2,,Platform
"UX-64: Planning: Add goal trajectory projection — trend line showing ""on pace"" vs ""behind"" based on progress rate","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-100]
**Effort:** 2-3h",Normal,2,,Platform
"DEV-107: Planning: Add AI-powered expense forecast — predict next month spend using 3-month trend + seasonality","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-104]
**Effort:** 4-6h",Low,4,,Platform
"DEV-108: Planning: Add goal templates — pre-built goals (emergency fund, revenue target, expense reduction)","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-97]
**Effort:** 2-3h",Low,2,,Platform
"DEV-109: Planning: Add budget rollover — option to carry unused budget forward to next period","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-98]
**Effort:** 1-2h",Low,1,,Platform
"DEV-110: Planning: Add ""What-if"" scenario comparison — side-by-side view of 2-3 forecast scenarios","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-102]
**Effort:** 4-6h",Low,4,,Platform
"DEV-111: Planning: Auto-suggest budgets from existing spending patterns — pre-fill amounts from 3-month category averages","**Status:** 📦
**Source:** audit:fe-be-parity
**Dependencies:** [needs: DEV-98]
**Effort:** 2-3h",Low,2,,Platform
"DEV-117: Insights: Wire AIBrief on dashboard to show real data (generate basic insight from transaction trends)","**Status:** 📦
**Source:** audit:ai-advisor
**Dependencies:** [needs: DEV-112]
**Effort:** 1h",Normal,1,,Platform
"DEV-120: Insights: Build History page with AI interaction logging (requires new BE endpoint + model)","**Status:** 📦
**Source:** audit:ai-advisor
**Dependencies:** [needs: DEV-118]
**Effort:** 2-3h",Low,2,,Platform
"DEV-121: Accounting: Add journal entry detail page `/accounting/journal-entries/[id]` — view entry with debit/credit lines, approve/void actions, source document link (API `GET /:id` exists, no frontend)","**Status:** ✅
**Source:** sitemap:audit
**Dependencies:** 8106fcb
**Effort:** 3-4h",Urgent,3,,Platform
"UX-79: Business: Add bill detail page at `/business/bills/[id]` — view bill, approve/cancel actions, payment progress bar, mark-overdue button (API `GET /bills/:id` exists). Absorbs UX-56 + UX-40. Depends on UX-77 (route fix)","**Status:** 🟢
**Source:** sitemap:audit, plan:phase-4-bill-and-get-paid.md
**Dependencies:** [needs: UX-77]
**Effort:** 2-3h",Normal,2,,Platform
"INFRA-5: Monitoring (Sentry error tracking, Vercel Analytics, uptime alerts)","**Status:** 🔒
**Source:** roadmap
**Dependencies:** [needs: INFRA-2]
**Effort:** 2h",High,2,,Platform
"INFRA-7: OpenTelemetry instrumentation (distributed tracing, metrics, alerting)","**Status:** 🔒
**Source:** review:smooth-floating-mountain
**Dependencies:** [needs: INFRA-2]
**Effort:** 4h",High,4,,Platform
"INFRA-8: Docker image building + container deployment pipeline","**Status:** 🔒
**Source:** review:smooth-floating-mountain
**Dependencies:** [needs: INFRA-1]
**Effort:** 3h",High,3,,Platform
